"","turnover_count","x","y","play_pattern.name","distance_ball_moved","ball_movement_speed","percent_distance","pass.type.name","pass.angle","pressing_count_1","pressing_count_2","pressing_count_3","right_option","front_option","left_option","back_option","player.name","match_id","position_group"
"1",0,31.7,40.9,"From Kick Off",28.6,16.64497,20.27568,"",1.176005,0,0,1,1,1,1,0,"Player_3628",3764295,"CB"
"2",0,56.1,68.4,"From Kick Off",67.97595,14.74977,5.112123,"",-0.7593895,0,0,0,0,1,1,0,"Player_4620",3764295,"FB"
"3",1,53,56.7,"From Goal Kick",5.215362,5.794686,-9.71688,"",-3.064821,0,1,2,0,1,0,1,"Player_5204",3764295,"AM"
"4",0,70.5,18.6,"Regular Play",7.00928,6.3594,11.298,"",0.734936,1,1,1,1,1,0,1,"Player_9607",3764295,"DM"
"5",1,98.5,6.2,"From Throw In",6.264982,11.30622,1.995706,"",0.1441544,0,1,2,0,1,0,1,"Player_3505",3764295,"ST"
"6",1,15.5,70.8,"Regular Play",38.14459,9.404087,41.5799,"",-0.1979097,0,0,2,0,1,1,0,"Player_3324",3764295,"CB"
"7",1,67.2,16.8,"Regular Play",14.51516,10.88802,17.49748,"Recovery",0.3152147,1,1,1,1,1,1,1,"Player_3663",3764295,"CB"
"8",1,78.2,25.1,"Regular Play",26.24881,13.16083,27.03895,"Recovery",1.793597,1,1,2,1,0,0,1,"Player_3505",3764295,"ST"
"9",0,47.7,29.4,"Regular Play",19.16377,6.357707,-27.66819,"Recovery",-2.628919,0,1,1,1,1,0,1,"Player_20039",3764295,"WG"
"10",0,38.1,9.7,"Regular Play",17.04259,12.34911,-12.70754,"",2.940745,0,1,0,1,1,0,1,"Player_3382",3764295,"FB"
"11",1,21.9,11,"Regular Play",34.26076,17.25004,29.32314,"",0.164189,1,0,2,1,0,1,1,"Player_3336",3764295,"CB"
"12",1,64.4,63.5,"Regular Play",32.69144,11.89581,14.10892,"Recovery",-0.8611747,0,1,1,1,1,1,1,"Player_3628",3764295,"CB"
"13",0,48.4,53.1,"Regular Play",23.5,19.56155,2.184821,"",1.570796,0,1,0,1,1,0,1,"Player_20004",3764295,"DM"
"14",1,56.1,77.7,"Regular Play",2.5,23.26014,4.994351,"",-0.2837941,1,1,1,0,1,1,1,"Player_3318",3764295,"WG"
"15",0,54.2,77.6,"From Throw In",29.23183,11.74872,-49.97181,"",-2.722326,1,0,2,0,1,0,1,"Player_3690",3764295,"FB"
"16",0,29.3,67.5,"From Throw In",17.22469,12.80928,15.95514,"",0.7155531,1,0,1,1,1,0,0,"Player_3324",3764295,"CB"
"17",0,35,79.1,"From Throw In",27.13116,15.05856,-34.18538,"",-2.752188,0,1,0,0,1,1,1,"Player_3690",3764295,"FB"
"18",0,9.9,67.8,"From Throw In",20.45336,7.778869,-7.832941,"",-1.843052,0,0,1,0,1,1,0,"Player_3324",3764295,"CB"
"19",0,33.8,59.9,"From Free Kick",33.60372,17.74225,-14.54422,"",-1.555916,0,0,0,1,1,1,0,"Player_3324",3764295,"CB"
"20",0,34.8,37.3,"From Free Kick",20.22993,15.3214,1.324582,"",1.800189,0,0,1,1,1,0,1,"Player_3336",3764295,"CB"
"21",0,30.7,59.1,"From Free Kick",28.21135,12.94377,-11.93745,"",-1.599158,0,0,1,1,1,1,0,"Player_3324",3764295,"CB"
"22",1,29.9,32.4,"From Free Kick",31.85545,15.88793,38.32675,"",0.4341618,0,1,0,1,1,0,0,"Player_3336",3764295,"CB"
"23",0,61.3,34.3,"From Free Kick",9.352005,7.455647,14.63777,"Recovery",1.140629,1,0,1,1,1,1,1,"Player_9607",3764295,"DM"
"24",1,64,43.2,"From Free Kick",44.99111,13.24192,93.26982,"",0.5732071,0,0,3,1,1,1,1,"Player_3583",3764295,"DM"
"25",0,18.3,12.5,"From Free Kick",7.18401,3.462456,6.671704,"Recovery",0.2821237,1,0,1,1,1,0,1,"Player_3382",3764295,"FB"
