"turnover_count","x","y","distance_ball_moved","ball_movement_speed","percent_distance","pass.angle","pressing_count_1","pressing_count_2","pressing_count_3","play_pattern.name","pass.type.name","right_option","front_option","left_option","back_option","player.name","match_id","position_group","team.name","x_end","y_end","xTurnover","predicted_turnover","cv_fold","risk_category","correct_prediction"
0,31.7,40.9,28.6,16.64497,20.27568,1.176005,0,0,1,"From Kick Off","",1,1,1,0,"Player_3628",3764295,"CB","Team_34",42.7,67.3,0.12178615827634,0,3,"Non-High Risk",TRUE
0,56.1,68.4,67.97595,14.74977,5.112123,-0.7593895,0,0,0,"From Kick Off","",0,1,1,0,"Player_4620",3764295,"FB","Team_34",105.4,21.6,0.525694402189468,1,2,"High Risk",FALSE
1,53,56.7,5.215362,5.794686,-9.71688,-3.064821,0,1,2,"From Goal Kick","",0,1,0,1,"Player_5204",3764295,"AM","Team_39",47.8,56.3,0.23852144299703,0,2,"Non-High Risk",FALSE
0,70.5,18.6,7.00928,6.3594,11.298,0.734936,1,1,1,"Regular Play","",1,1,0,1,"Player_9607",3764295,"DM","Team_34",75.7,23.3,0.0634141715883643,0,4,"Non-High Risk",TRUE
1,98.5,6.2,6.264982,11.30622,1.995706,0.1441544,0,1,2,"From Throw In","",0,1,0,1,"Player_3505",3764295,"ST","Team_34",104.7,7.1,0.237250603739026,0,5,"Non-High Risk",FALSE
1,15.5,70.8,38.14459,9.404087,41.5799,-0.1979097,0,0,2,"Regular Play","",0,1,1,0,"Player_3324",3764295,"CB","Team_39",52.9,63.3,0.156146852181058,0,1,"Non-High Risk",FALSE
1,67.2,16.8,14.51516,10.88802,17.49748,0.3152147,1,1,1,"Regular Play","Recovery",1,1,1,1,"Player_3663",3764295,"CB","Team_34",81,21.3,0.220658328449446,0,2,"Non-High Risk",FALSE
1,78.2,25.1,26.24881,13.16083,27.03895,1.793597,1,1,2,"Regular Play","Recovery",1,0,0,1,"Player_3505",3764295,"ST","Team_34",72.4,50.7,0.650333714982783,1,1,"High Risk",TRUE
0,47.7,29.4,19.16377,6.357707,-27.66819,-2.628919,0,1,1,"Regular Play","Recovery",1,1,0,1,"Player_20039",3764295,"WG","Team_39",31,20,0.233767857624998,0,1,"Non-High Risk",TRUE
0,38.1,9.7,17.04259,12.34911,-12.70754,2.940745,0,1,0,"Regular Play","",1,1,0,1,"Player_3382",3764295,"FB","Team_39",21.4,13.1,0.0507646519264658,0,1,"Non-High Risk",TRUE
1,21.9,11,34.26076,17.25004,29.32314,0.164189,1,0,2,"Regular Play","",1,0,1,1,"Player_3336",3764295,"CB","Team_39",55.7,16.6,0.218876924136154,0,3,"Non-High Risk",FALSE
1,64.4,63.5,32.69144,11.89581,14.10892,-0.8611747,0,1,1,"Regular Play","Recovery",1,1,1,1,"Player_3628",3764295,"CB","Team_34",85.7,38.7,0.320075980522696,0,3,"Non-High Risk",FALSE
0,48.4,53.1,23.5,19.56155,2.184821,1.570796,0,1,0,"Regular Play","",1,1,0,1,"Player_20004",3764295,"DM","Team_39",48.4,76.6,0.103478200616965,0,5,"Non-High Risk",TRUE
1,56.1,77.7,2.5,23.26014,4.994351,-0.2837941,1,1,1,"Regular Play","",0,1,1,1,"Player_3318",3764295,"WG","Team_39",58.5,77,0.201232257944295,0,1,"Non-High Risk",FALSE
0,54.2,77.6,29.23183,11.74872,-49.97181,-2.722326,1,0,2,"From Throw In","",0,1,0,1,"Player_3690",3764295,"FB","Team_39",27.5,65.7,0.291886508962535,0,5,"Non-High Risk",TRUE
0,29.3,67.5,17.22469,12.80928,15.95514,0.7155531,1,0,1,"From Throw In","",1,1,0,0,"Player_3324",3764295,"CB","Team_39",42.3,78.8,0.0970567807955848,0,5,"Non-High Risk",TRUE
0,35,79.1,27.13116,15.05856,-34.18538,-2.752188,0,1,0,"From Throw In","",0,1,1,1,"Player_3690",3764295,"FB","Team_39",9.9,68.8,0.21148490213874,0,4,"Non-High Risk",TRUE
0,9.9,67.8,20.45336,7.778869,-7.832941,-1.843052,0,0,1,"From Throw In","",0,1,1,0,"Player_3324",3764295,"CB","Team_39",4.4,48.1,0.075261152114826,0,1,"Non-High Risk",TRUE
0,33.8,59.9,33.60372,17.74225,-14.54422,-1.555916,0,0,0,"From Free Kick","",1,1,1,0,"Player_3324",3764295,"CB","Team_39",34.3,26.3,0.105991041765277,0,4,"Non-High Risk",TRUE
0,34.8,37.3,20.22993,15.3214,1.324582,1.800189,0,0,1,"From Free Kick","",1,1,0,1,"Player_3336",3764295,"CB","Team_39",30.2,57,0.0939168232421339,0,5,"Non-High Risk",TRUE
0,30.7,59.1,28.21135,12.94377,-11.93745,-1.599158,0,0,1,"From Free Kick","",1,1,1,0,"Player_3324",3764295,"CB","Team_39",29.9,30.9,0.0748037536402042,0,5,"Non-High Risk",TRUE
1,29.9,32.4,31.85545,15.88793,38.32675,0.4341618,0,1,0,"From Free Kick","",1,1,0,0,"Player_3336",3764295,"CB","Team_39",58.8,45.8,0.225845066008998,0,2,"Non-High Risk",FALSE
0,61.3,34.3,9.352005,7.455647,14.63777,1.140629,1,0,1,"From Free Kick","Recovery",1,1,1,1,"Player_9607",3764295,"DM","Team_34",65.2,42.8,0.153469559377529,0,4,"Non-High Risk",TRUE
1,64,43.2,44.99111,13.24192,93.26982,0.5732071,0,0,3,"From Free Kick","",1,1,1,1,"Player_3583",3764295,"DM","Team_34",101.8,67.6,0.330811923081023,0,2,"Non-High Risk",FALSE
0,18.3,12.5,7.18401,3.462456,6.671704,0.2821237,1,0,1,"From Free Kick","Recovery",1,1,0,1,"Player_3382",3764295,"FB","Team_39",25.2,14.5,0.168729424147258,0,5,"Non-High Risk",TRUE
1,75.9,78.8,35.25252,12.84059,72.58523,-0.5793482,1,1,2,"From Free Kick","",0,0,1,1,"Player_5204",3764295,"AM","Team_39",105.4,59.5,0.694222538170325,1,1,"High Risk",TRUE
1,64.8,12.6,8.28734,6.499579,-8.800418,-2.996283,1,0,3,"From Free Kick","",0,0,0,1,"Player_3505",3764295,"ST","Team_34",56.6,11.4,0.350964032947632,0,3,"Non-High Risk",FALSE
0,46,17.4,9.613012,10.53787,8.091418,1.51876,0,0,2,"Regular Play","Recovery",1,1,0,1,"Player_9607",3764295,"DM","Team_34",46.5,27,0.143199696984455,0,2,"Non-High Risk",TRUE
0,46.3,27.5,27.65014,23.75084,28.89667,1.192976,0,0,1,"Regular Play","",1,1,1,1,"Player_3583",3764295,"DM","Team_34",56.5,53.2,0.112076081750637,0,5,"Non-High Risk",TRUE
0,56.5,53.2,9.758074,7.171374,-17.33543,-2.356194,0,0,2,"Regular Play","",0,1,1,1,"Player_3720",3764295,"WG","Team_34",49.6,46.3,0.0574302905546763,0,3,"Non-High Risk",TRUE
0,49.6,46.3,21.41892,15.05544,5.374135,1.612828,0,0,2,"Regular Play","",0,1,1,1,"Player_3583",3764295,"DM","Team_34",48.7,67.7,0.0826715176509869,0,5,"Non-High Risk",TRUE
0,50.7,69.8,8.657944,8.943187,-2.552352,-1.686556,0,1,0,"Regular Play","",0,1,1,1,"Player_4620",3764295,"FB","Team_34",49.7,61.2,0.0819301368773474,0,5,"Non-High Risk",TRUE
1,51.8,60.8,40.78296,12.84949,75.18947,0.06379538,0,1,1,"Regular Play","",1,1,1,1,"Player_3583",3764295,"DM","Team_34",92.5,63.4,0.193358580543049,0,4,"Non-High Risk",FALSE
1,27.6,16.7,19.27823,8.862774,13.45491,-0.1984129,1,0,2,"Regular Play","Recovery",1,1,0,1,"Player_3336",3764295,"CB","Team_39",46.5,12.9,0.225813182661986,0,3,"Non-High Risk",FALSE
1,73.6,67.2,22.25242,10.80193,46.64224,-0.5118999,1,0,2,"Regular Play","Recovery",0,1,1,1,"Player_4620",3764295,"FB","Team_34",93,56.3,0.509125174535206,1,4,"High Risk",TRUE
0,27.1,23.8,8.746428,8.710141,9.762155,0.5404195,0,0,1,"Regular Play","Recovery",1,1,1,1,"Player_3336",3764295,"CB","Team_39",34.6,28.3,0.0744895115155284,0,1,"Non-High Risk",TRUE
0,33.1,29.6,18.96629,10.02589,-16.89244,-1.815775,1,0,3,"Regular Play","",1,1,1,1,"Player_20004",3764295,"DM","Team_39",28.5,11.2,0.0492999040052243,0,3,"Non-High Risk",TRUE
0,28.5,11.2,14.36698,14.01964,4.117086,-0.5822111,0,1,0,"Regular Play","",1,1,0,1,"Player_3382",3764295,"FB","Team_39",40.5,3.3,0.0864014119085269,0,3,"Non-High Risk",TRUE
